Multiplex,LayerLeft,LayerRight,Accuracy,PFI
arxiv,2,6,0.514508795022137,0.0
arxiv,2,6,0.737324414715719,0.10555555555555556
arxiv,2,6,0.836417412407098,0.2111111111111111
arxiv,2,6,0.874890562073192,0.31666666666666665
arxiv,2,6,0.916545868709878,0.4222222222222222
arxiv,2,6,0.934887256143907,0.5277777777777778
arxiv,2,6,0.944526023821178,0.6333333333333333
arxiv,2,6,0.957617411225659,0.7388888888888889
arxiv,2,6,0.962706651287966,0.8444444444444444
arxiv,2,6,0.970131421744325,0.95
arxiv,2,7,0.525188148349041,0.0
arxiv,2,7,0.65182293640567,0.10555555555555556
arxiv,2,7,0.765984874527329,0.2111111111111111
arxiv,2,7,0.806944444444444,0.31666666666666665
arxiv,2,7,0.864601666080019,0.4222222222222222
arxiv,2,7,0.884852835606604,0.5277777777777778
arxiv,2,7,0.92179700499168,0.6333333333333333
arxiv,2,7,0.932502596053998,0.7388888888888889
arxiv,2,7,0.946840958605665,0.8444444444444444
arxiv,2,7,0.94722598105548,0.95
arxiv,6,7,0.500280300482117,0.0
arxiv,6,7,0.682040355934328,0.10555555555555556
arxiv,6,7,0.802188432570698,0.2111111111111111
arxiv,6,7,0.853018372703412,0.31666666666666665
arxiv,6,7,0.879705083430345,0.4222222222222222
arxiv,6,7,0.904818419178733,0.5277777777777778
arxiv,6,7,0.929685111586671,0.6333333333333333
arxiv,6,7,0.937339055793991,0.7388888888888889
arxiv,6,7,0.955331412103746,0.8444444444444444
arxiv,6,7,0.95067264573991,0.95
celegans,1,2,0.994082840236686,0.0
celegans,1,2,0.992073976221929,0.10555555555555556
celegans,1,2,0.989520958083832,0.2111111111111111
celegans,1,2,0.991349480968858,0.31666666666666665
celegans,1,2,0.989775051124744,0.4222222222222222
celegans,1,2,0.995,0.5277777777777778
celegans,1,2,0.990353697749196,0.6333333333333333
celegans,1,2,0.995475113122172,0.7388888888888889
celegans,1,2,0.992424242424242,0.8444444444444444
celegans,1,2,1,0.95
celegans,1,3,0.964083175803403,0.0
celegans,1,3,0.922995780590717,0.10555555555555556
celegans,1,3,0.972488038277512,0.2111111111111111
celegans,1,3,0.988980716253444,0.31666666666666665
celegans,1,3,0.986970684039088,0.4222222222222222
celegans,1,3,0.98605577689243,0.5277777777777778
celegans,1,3,0.994871794871795,0.6333333333333333
celegans,1,3,0.992805755395683,0.7388888888888889
celegans,1,3,0.976190476190476,0.8444444444444444
celegans,1,3,1,0.95
celegans,2,3,0.899885583524027,0.0
celegans,2,3,0.921455938697318,0.10555555555555556
celegans,2,3,0.950724637681159,0.2111111111111111
celegans,2,3,0.970784641068447,0.31666666666666665
celegans,2,3,0.954545454545455,0.4222222222222222
celegans,2,3,0.961259079903148,0.5277777777777778
celegans,2,3,0.978260869565217,0.6333333333333333
celegans,2,3,0.960698689956332,0.7388888888888889
celegans,2,3,0.978102189781022,0.8444444444444444
celegans,2,3,1,0.95
